영업상태명,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),카테고리_대,카태고리_소
영업/정상,서울특별시 마포구 양화로 176 (동교동),YZ Park 홍대점,전문점,193296.7914,450562.9312,생활/편의,전문점
영업/정상,"서울특별시 마포구 도화4길 73 (도화동, 현대홈타운)",홈플러스익스프레스 도화점,그 밖의 대규모점포,195669.2176,448393.6587,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 마포구 홍익로3길 20 (서교동),서교시장,시장,193009.2081,450142.1869,생활/편의,시장
영업/정상,서울특별시 마포구 창전로 45 (창전동),마포종합시장(서강한화오벨리스크),그 밖의 대규모점포,193905.4372,449372.4965,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 마포구 와우산로35길 50-4 (동교동),홍대복합역사 상업시설,쇼핑센터,193285.5497,450808.5716,생활/편의,쇼핑센터
영업/정상,"서울특별시 양천구 신정로13길 3, 대우미래사랑5차아파트 103~105호 (신정동)",롯데프레시 신정점,그 밖의 대규모점포,186071.9797,445297.9868,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 양천구 화곡로 59 (신월동),(주)이마트 신월점,백화점,184796.9991,448625.3896,생활/편의,백화점
영업/정상,"서울특별시 양천구 목동서로 130, 관리동 105호 (목동,목동4단지아파트)",(주)이마트에브리데이 목동점,구분없음,188580.4837,447750.8452,생활/편의,슈퍼마켓
영업/정상,"서울특별시 양천구 월정로46길 11 (신월동,외 1필지)",롯데쇼핑(주)롯데슈퍼 신월점,구분없음,185164.5599,448756.0336,생활/편의,슈퍼마켓
영업/정상,서울특별시 양천구 목동중앙본로7길 45 (목동),목동시장아울렛,그 밖의 대규모점포,188117.3518,448552.9899,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 양천구 지양로 78 (신월동),우성상가시장,시장,185221.9579,446727.355,생활/편의,시장
영업/정상,서울특별시 양천구 목동동로 257 (목동),현대백화점목동점,백화점,188884.0756,447186.8886,생활/편의,백화점
영업/정상,서울특별시 양천구 목동동로 309 (목동),행복한백화점,백화점,188977.1711,447466.355,생활/편의,백화점
영업/정상,서울특별시 양천구 목동남로4길 2 (신정동),신정동세양청마루2차상가,그 밖의 대규모점포,187954.1896,445124.1316,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 양천구 등촌로 172 (목동),홈플러스(주)익스프레스 목동2점,구분없음,187788.8226,449204.6352,생활/편의,슈퍼마켓
영업/정상,"서울특별시 양천구 목동서로 100, 105호 (목동,목동3단지아파트 관리동상가)",롯데슈퍼 목동2점,구분없음,188700.8512,448020.091,생활/편의,슈퍼마켓
영업/정상,"서울특별시 양천구 목동동로 53, 103~108호 (신정동,굿모닝탑)",홈플러스(주)익스프레스 신정3점,구분없음,187619.9931,445879.0549,생활/편의,슈퍼마켓
영업/정상,서울특별시 양천구 목동중앙북로 7 (목동),신한이모르젠상가,그 밖의 대규모점포,187955.1215,449649.0162,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 양천구 오목로 299 (목동),(주)이마트 목동점,대형마트,188551.2991,447076.2881,생활/편의,대형마트
영업/정상,서울특별시 양천구 중앙로 255-1 (신정동),홈플러스(주)익스프레스 신정점,구분없음,186934.1477,446336.6805,생활/편의,슈퍼마켓
영업/정상,"서울특별시 양천구 목동중앙북로 68 (목동, 목동에버하임)",목동에버하임,그 밖의 대규모점포,188502.8868,449377.6388,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 양천구 목동로 183(신정동),(주)이마트에브리데이 목동역점,구분없음,187929.3951,446964.6091,생활/편의,슈퍼마켓
