카테고리_대,카테고리_소,관서명,주소,위도,경도
안전,경찰서/파출소,번동_파출소,서울특별시 강북구  한천로 969,37.6359778,127.0325802
안전,경찰서/파출소,번3_파출소,서울특별시 강북구  월계로 227,37.62362546,127.04813
안전,경찰서/파출소,삼양_파출소,서울특별시 강북구  삼양로 239-1,37.624832,127.0181776
안전,경찰서/파출소,금천_파출소,서울특별시 금천구 시흥대로57길 45,37.45422118,126.8998199
안전,경찰서/파출소,문성_지구대,서울특별시 금천구  독산로 76길 20,37.46953537,126.9034616
안전,경찰서/파출소,백산_지구대,서울특별시 금천구  탑골로2길 37 백산지구대,37.45104272,126.9125957
안전,경찰서/파출소,가산_파출소,서울특별시 금천구  벚꽃로56길 174,37.47993673,126.8880557
안전,경찰서/파출소,독산_파출소,서울특별시 금천구  벚꽃로10길 89,37.46464482,126.8947575
안전,경찰서/파출소,망우_지구대,서울특별시 중랑구  망우로 391,37.5990315,127.0955316
안전,경찰서/파출소,중화_지구대,서울특별시 중랑구  중랑천로 146,37.59798671,127.0722092
안전,경찰서/파출소,용마_지구대,서울특별시 중랑구 동일로 566,37.58094415,127.0799363
안전,경찰서/파출소,봉화_지구대,서울특별시 중랑구  신내로 177,37.61486772,127.0955665
안전,경찰서/파출소,면목본동_파출소,서울특별시 중랑구  상봉로 27,37.58820255,127.0938774
안전,경찰서/파출소,면목삼팔_파출소,서울특별시 중랑구  사가정로41길 45 (면목3.8파출소),37.58320712,127.0841549
안전,경찰서/파출소,상봉_파출소,서울특별시 중랑구  중랑천로 69 상봉파출소,37.59132601,127.0728506
안전,경찰서/파출소,먹골_파출소,서울특별시 중랑구 숙선옹주로7길 1,37.6146248,127.0815324
안전,경찰서/파출소,역삼_지구대,서울특별시 강남구 언주로108길 20,37.50830733,127.041016
안전,경찰서/파출소,논현1_파출소,서울특별시 강남구 학동로 169,37.51386514,127.0293218
안전,경찰서/파출소,논현2_파출소,서울특별시 강남구 학동로 227,37.51520381,127.0338464
안전,경찰서/파출소,삼성1_파출소,서울특별시 강남구 영동대로112길 4,37.51490744,127.0605459
안전,경찰서/파출소,삼성2_파출소,서울특별시 강남구 선릉로 626,37.51240988,127.0435179
안전,경찰서/파출소,청담_파출소,서울특별시 강남구 학동로95길 19,37.52079791,127.0542756
안전,경찰서/파출소,신사_파출소,서울특별시 강남구 도산대로 143,37.51837187,127.0241335
안전,경찰서/파출소,압구정_파출소,서울특별시 강남구 압구정로 311,37.52934732,127.0356144
안전,경찰서/파출소,당곡_지구대,서울특별시 관악구  남부순환로191길 12 당곡지구대,37.48600685,126.9343644
안전,경찰서/파출소,낙성대_지구대,"서울특별시 관악구  봉천로 540, 낙성대지구대",37.47832691,126.9575957
안전,경찰서/파출소,신림_지구대,서울특별시 관악구  남부순환로188길 12 신림지구대,37.48401647,126.9333173
안전,경찰서/파출소,관악산_지구대,서울특별시 관악구  신림로 178 관악산지구대,37.4738594,126.9352631
안전,경찰서/파출소,구암_지구대,서울특별시 관악구 은천로 93,37.48735272,126.9454289
안전,경찰서/파출소,남현_파출소,서울특별시 관악구  남현1가길 29 남현파출소,37.47468786,126.9778753
안전,경찰서/파출소,난우_파출소,서울특별시 관악구  난곡로64 난우파출소,37.46111825,126.91925
안전,경찰서/파출소,미성_파출소,서울특별시 관악구  난곡로64가길 31,37.47992421,126.9156105
안전,경찰서/파출소,신사_지구대,서울특별시 관악구  신사로 106,37.4872985,126.9142051
안전,경찰서/파출소,화곡_지구대,서울특별시 강서구  화곡로 308,37.55155817,126.8496564
안전,경찰서/파출소,공항_지구대,서울특별시 강서구  방화동로 5 ,37.56236965,126.8082785
안전,경찰서/파출소,까치산_지구대,서울특별시 강서구  강서로7길 39,37.52935163,126.8455601
안전,경찰서/파출소,가양_지구대,서울특별시 강서구 화곡로65길 63,37.55924913,126.8501226
안전,경찰서/파출소,곰달래_지구대,서울특별시 강서구 곰달래로59길 12,37.53289109,126.8631408
안전,경찰서/파출소,방화3_파출소,서울특별시 강서구  금낭화로26길 16,37.57980537,126.8146821
