카테고리_대,카테고리_소,정류소명,위도,경도
bus,bus,창신쌍용2단지.한성대후문,127.0127581,37.5812648
bus,bus,통일부,126.9859477,37.58759481
bus,bus,원서고개,126.9878088,37.58308055
bus,bus,종로5가입구,126.9976709,37.57179285
bus,bus,삼청파출소,126.981251,37.58181366
bus,bus,오거리.한옥마을입구,126.9696089,37.57940462
bus,bus,명륜시장.성대후문,126.9952543,37.58851105
bus,bus,혜화초등학교,126.9998517,37.58725323
bus,bus,청련사입구,126.9624312,37.60798038
bus,bus,영천시장,126.9627389,37.57008186
bus,bus,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621
bus,bus,감사원,126.9852901,37.58621065
bus,bus,중앙중고,126.9869653,37.58309218
bus,bus,인왕빌딩,126.9577443,37.60792833
bus,bus,종로4가.종묘공원,126.9946203,37.57068903
bus,bus,국립민속박물관,126.9795534,37.57925518
bus,bus,광화문새마을금고,126.9711466,37.57936877
bus,bus,새마을금고,126.9965181,37.58773706
bus,bus,혜화우체국,127.0006137,37.58603766
bus,bus,언덕앞,126.9637922,37.60895398
bus,bus,경희궁자이4단지,126.9621148,37.57070222
bus,bus,종로센트레빌후문.e편한세상보문아파트,127.0161855,37.58177439
bus,bus,사우디대사관앞.북촌힐스,126.9850312,37.58410567
bus,bus,안국선원.삼거리,126.9849941,37.58279098
bus,bus,구기터널입구,126.9567769,37.60820461
bus,bus,종로3가역9번출구,126.9920932,37.57108758
bus,bus,경복궁,126.9793378,37.57695016
bus,bus,소나무집,126.9641105,37.61127707
bus,bus,독립문역3번출구,126.9597453,37.57287848
bus,bus,청룡사.보문파크뷰자이아파트,127.0170071,37.58001895
bus,bus,북촌한옥마을입구.정세권활동터,126.9849422,37.58159973
bus,bus,종로1.2.3.4가동주민센터,126.9911314,37.57438371
bus,bus,창덕궁,126.99062,37.57608925
bus,bus,아름다운실버,126.9654637,37.61201006
bus,bus,독립문초등학교,126.9606775,37.57386997
bus,bus,종로센트레빌아파트,127.0156927,37.58035344
bus,bus,가회동주민센터,126.9849543,37.57997294
bus,bus,구기빌라,126.9579797,37.60626861
bus,bus,원남로터리,126.9975115,37.57623737
bus,bus,보현산신각,126.9657791,37.61348252
bus,bus,린덴바움숲유치원,126.961804,37.57466928
bus,bus,쌍용아파트입구.창신역,127.0149636,37.58051123
bus,bus,아름다운가게.정독도서관,126.9851272,37.57894808
bus,bus,산정빌라,126.9574922,37.60515199
bus,bus,이화사거리,127.0020915,37.57650956
bus,bus,박종화고택입구,126.9676873,37.61431026
bus,bus,무악현대아파트후문,126.9619412,37.57633723
bus,bus,헌법재판소.안국역,126.9858152,37.5773872
bus,bus,청구빌라,126.956984,37.60461026
bus,bus,서울대어린이병원응급실.갑상선센터,126.999503,37.57811888
bus,bus,화인빌라,126.9685386,37.61293453
bus,bus,행촌주차장,126.962888,37.57527281
bus,bus,창신초등학교,127.0153886,37.5769032
bus,bus,수운회관,126.9866693,37.57521894
bus,bus,상명대후문,126.9573354,37.60402558
bus,bus,힐탑,126.9690206,37.61160556
bus,bus,성결교신대원총회본부,126.9634446,37.57397631
bus,bus,낙원상가,126.9874149,37.57375637
bus,bus,완성빌라,126.9575011,37.60340209
bus,bus,서울대병원장례식장,126.997431,37.5805554
bus,bus,혜화역1번출구,127.0017633,37.58347299
bus,bus,감나무골공원,126.9699479,37.61240596
bus,bus,한국사회과학도서관.이회영기념관,126.9641239,37.57366701
bus,bus,동묘앞역8번출구,127.0142454,37.57269435
bus,bus,종로2가.탑골공원,126.9875484,37.57057137
