점포명,주소,위도,경도,카테고리_대,카테고리_소
스타벅스 신논현역3번출구,서울특별시 강남구 강남대로 488 (논현동),37.50587528,127.0242674,cafe,cafe
스타벅스 강남파이낸스센터,서울특별시 강남구 테헤란로 152 (역삼동),37.50002424,127.0365086,cafe,cafe
스타벅스 강남역신분당역사,서울특별시 강남구 강남대로 396 (역삼동),37.49816465,127.0283079,cafe,cafe
스타벅스 삼성역,서울특별시 강남구 테헤란로 620 (대치동),37.50919797,127.0655788,cafe,cafe
스타벅스 테헤란로아남타워,서울특별시 강남구 테헤란로 311 (역삼동),37.50374414,127.0448545,cafe,cafe
스타벅스 강남논현,서울특별시 강남구 강남대로 512 (논현동),37.50789786,127.0233386,cafe,cafe
스타벅스 삼성동,서울특별시 강남구 영동대로96길 12 (삼성동)...,37.51073879,127.0635818,cafe,cafe
스타벅스 리저브도산,서울특별시 강남구 선릉로155길 23 (신사동),37.52557579,127.0377474,cafe,cafe
스타벅스 압구정역사3번출구,서울특별시 강남구 논현로 854 (신사동),37.5253216,127.0288651,cafe,cafe
스타벅스 청담역,서울특별시 강남구 삼성로 709 (청담동),37.51942452,127.0495286,cafe,cafe
스타벅스 압구정현대아파트,서울특별시 강남구 논현로175길 38 (신사동),37.52519171,127.0255523,cafe,cafe
스타벅스 강남청담빌딩,서울특별시 강남구 선릉로 704 (청담동),37.51780198,127.0413893,cafe,cafe
스타벅스 역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),37.49923554,127.0484209,cafe,cafe
스타벅스 케이스퀘어강남,서울특별시 강남구 강남대로94길 10 (역삼동)...,37.49919632,127.0282272,cafe,cafe
스타벅스 강남세곡DT,서울특별시 강남구 헌릉로 727 (세곡동),37.46699381,127.1183308,cafe,cafe
스타벅스 미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),37.61838999,127.0211235,cafe,cafe
스타벅스 강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),37.64001418,127.0273853,cafe,cafe
스타벅스 미아사거리역,서울특별시 강북구 도봉로 32 (미아동),37.6118468,127.0307088,cafe,cafe
스타벅스 수유역,서울특별시 강북구 도봉로 342 (번동),37.63803455,127.0261287,cafe,cafe
스타벅스 미아역,서울특별시 강북구 도봉로 196 (미아동),37.62614369,127.0265742,cafe,cafe
스타벅스 수유역5번출구,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)...",37.63693054,127.0232816,cafe,cafe
스타벅스 서울안토,서울특별시 강북구 삼양로 689 (우이동) 지하1층...,37.66494748,127.0076802,cafe,cafe
스타벅스 발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),37.55840386,126.8348939,cafe,cafe
스타벅스 마곡역,서울특별시 강서구 공항대로 168 (마곡동),37.55927364,126.826137,cafe,cafe
스타벅스 우장산역,서울특별시 강서구 강서로 267 (내발산동),37.54960006,126.8359413,cafe,cafe
스타벅스 마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),37.56055376,126.8338902,cafe,cafe
스타벅스 방화DT,서울특별시 강서구 방화대로 375 (방화동),37.57445415,126.816386,cafe,cafe
