책방 이름,주소,위도,경도,카테고리_대,카테고리_소
경험서재,백범로 35 서강대학교 곤자가홀 1층,37.55117593803826,126.94376736973622,문화,새서점      
경희문고,동대문구 회기로 113,37.59164957,127.0493102,문화,새서점      
계성문고,성북구 길음로 33 2층 22호,37.60504925,127.0220094,문화,새서점      
고래서점,용산구 한강대로 307,37.54572765,126.9715375,문화,새서점      
고려서점,강서구 강서로47길 26 지하1층,37.552876,126.8347796,문화,새서점      
고시책사랑,관악구 호암로26길 27,37.4706007,126.9352363,문화,헌서점      
고요서사,용산구 신흥로15길 18-4,37.54437666,126.9858576,문화,새서점      
곰서점,동작구 양녕로 186 지하1층,37.49791392,126.9435904,문화,새서점      
공간과몰입,종로구 낙산길 19,37.58054788,127.0055969,문화,새서점      
공상온도,마포구 동교로 23길40 지하1층,37.55765748,126.9198091,문화,새서점      
공손서점,광진구 아차산로70길 17-17,37.54169929,127.1025258,문화,새서점      
공신서점,양천구 신정로13길 22,37.51142543,126.8431316,문화,새서점      
공씨책방(성수점),성동구 광나루로 130 106호-라,37.55097877,127.0447207,문화,헌서점      
공씨책방(신촌점),서대문구 신촌로 55-2,37.5568761,126.932749,문화,헌서점      
공일서점,노원구 공릉로 101 경동상가,37.61930144,127.0778417,문화,새서점      
공작문고,마포구 성산로 128 마포중앙도서관 지하 1층,37.56379544,126.9082019,문화,새서점      
과학책방 갈다,종로구 삼청로10길 18,37.58763566,126.9820384,문화,새서점      
관객의취향,관악구 관악로 204 3층 301호,37.48296173,126.9542948,문화,새서점      
광명문고,은평구 수색로 268 지하 1층,37.5829395,126.8947019,문화,새서점      
광진서적,광진구 광나루로36길 76,37.5416637,127.0854335,문화,새서점      
광평서점,강남구 광평로 63,37.48286093,127.0796263,문화,새서점      
교보문고(가든파이브 바로드림센터),"송파구 충민로 66, 가든파이브 라이프 리빙관 현대시티몰 4층",37.47761484,127.1249618,문화,새서점      
교보문고(강남점),"서초구 강남대로 465, 교보타워 지하 1~지하 2층",37.50375605,127.0241095,문화,새서점      
교보문고(건대 바로드림센터),능동로 92 롯데백화점 스타시티점 지하1층,37.53899977,127.0712144,문화,새서점      
교보문고(광화문점),"종로구 종로 1, 교보생명빌딩 지하 1층",37.57095784,126.9779288,문화,새서점      
교보문고(동대문 바로드림센터),"중구 장충단로13길 20, 현대시티아울렛 지하 1층",37.56873455,127.0076665,문화,새서점      
교보문고(디큐브시티 바로드림센터),"구로구 경인로 662, 현대백화점 지하 1층",37.50812307,126.888213,문화,새서점      
교보문고(목동점),"양천구 목동서로 159-1, CBS 지하 1층",37.52823182,126.8749907,문화,새서점      
교보문고(수유점),"강북구 도봉로 348, 교보생명빌딩 지하 1층",37.6383189,127.0265481,문화,새서점      
교보문고(신논현역스토어),강남구 봉은사로 102 지하 1층,37.50463416,127.0250313,문화,새서점      
교보문고(영등포점),"영등포구 영중로 15, 타임스퀘어 멀티플렉스 2층",37.51723326,126.903716,문화,새서점      
교보문고(은평 바로드림센터),"은평구 통일로 1050, 롯데몰 3층",37.63753667,126.9179003,문화,새서점      
교보문고(잠실점),"송파구 올림픽로 269, 롯데캐슬골드 지하 1층",37.51442735,127.1006114,문화,새서점      
교보문고(천호점),"강동구 올림픽로 664, 대우한강베네시티 지하 1층",37.54055538,127.1249758,문화,새서점      
교보문고(청량리 바로드림센터),"동대문구 왕산로 214, 롯데백화점 청량리점 지하 1층",37.58419614,127.0511471,문화,새서점      
교보문고(합정점),"마포구 월드컵로3길 14 딜라이트스퀘어 2차(지하 1층), 1차(지하 2층)",37.55100797,126.911649,문화,새서점      
교보서적,강서구 양천로 87 대일빌딩 지하1층,37.57360861,126.8136505,문화,새서점      
구일서점,구로구 구일로4길 66,37.49368169,126.8763089,문화,새서점      
그날이오면 ,관악구 신림로 14길 26,37.47189358,126.9383179,문화,새서점      
그래서,중구 동호로37길 20 A동 2층 132호,37.56872417,127.0008056,문화,새서점      
그래픽,용산구 회나무로39길 33,37.54093281,126.9935916,문화,새서점      
그래픽,용산구 회나무로39길 33,37.54093281,126.9935916,문화,새서점      
그랜드문고,노원구 한글비석로 253 지하1층,37.6504237,127.0763481,문화,새서점      
그린북스,중랑구 봉화산로 94 2층,37.60208775,127.0849258,문화,헌서점      
그림책방 곰곰,마포구 연남로 61-1,37.56462283,126.9198304,문화,새서점      
그림책방 종달새의 마음,월곡로 54 1층,37.59704723,127.0392113,문화,새서점      
글방,중구 청계천로 274 다7호,37.56942586,127.0080476,문화,헌서점      
글벗서점,마포구 신촌로 48,37.55683681,126.9313194,문화,헌서점      
글벗서점,은평구 은평로 66,37.59879593,126.9151238,문화,새서점      
글벗서점,강남구 도곡로 516 삼성상가 지하1층,37.49918128,127.0629879,문화,새서점      
글빛문고,양천구 목동중앙로 43 지하 1층,37.533541,126.8695252,문화,새서점      
금지옥엽,중구 청계천로 160 세운청계상가 3층 데크 가열 312호,37.56797986,126.9953651,문화,새서점      
기독성문서적,중구 청계천로 274 다26호,37.56942586,127.0080476,문화,헌서점      
깡지서점,관악구 신림로 30길 21,37.47318034,126.9358177,문화,헌서점      
꼬리달린책방(협동조합 카페마을),양천구 목동중앙북로16길 39,37.54447865,126.8739729,문화,새서점      
꽃피는책,양천구 목동중앙북로16길 58,37.54353549,126.8738048,문화,새서점      
나나문고,강남구 선릉로 221 도곡렉슬상가 지하1층,37.49420684,127.0497348,문화,새서점      
나라문고,강서구 강서로 247 지하1층,37.54779279,126.8360362,문화,새서점      
