책방 이름,주소,위도,경도,카테고리_대,카테고리_소
신명문고,도봉구 도봉로 705 지하1층,37.66744295,127.0428854,문화,새서점      
신목서점,양천구 목동동로 130,37.514999,126.8712369,문화,새서점      
신성서림,종로구 종로 258 대학천상가(덕성빌딩),37.5706569,127.0064795,문화,새서점      
신일서점,강북구 덕릉로 45,37.63464706,127.0188555,문화,헌서점      
신협서점,종로구 종로 258,37.5706569,127.0064795,문화,새서점      
심지전문서적,강남구 논현로 723 창성빌딩 1층,37.51660565,127.0292593,문화,새서점      
쌈북서점,양천구 목동서로 277 대림아크로텔 108호,37.52245427,126.8694393,문화,새서점      
쌍문문고,도봉구 도봉로 482 우성빌딩 지하1층,37.64846313,127.0350076,문화,새서점      
쎄임더스트,성동구 성수일로 44-1 2층,37.54433654,127.0498222,문화,새서점      
쏘피아 서점,서대문구 충정로 53 13층,37.56375123,126.9646327,문화,새서점      
쓸모의 발견,도봉구 우이천로42길 37 ,37.65441743,127.018406,문화,새서점      
아운트,강동구 양재대로 126길 54 101호,37.54334035,127.1453044,문화,새서점      
아인서점,마포구 월드컵로3길 31-30 3층,37.54991741,126.9109455,문화,새서점      
아직 독립 못 한 책방,마포대로 190 푸른약국 내,37.55091751,126.9557907,문화,새서점      
아침달 북스토어,마포구 성미산로 153-16 2층,37.56510695,126.9231097,문화,새서점      
아크앤북(이마트 더타운몰 월계점),노원구 마들로3길 15 이마트 월계점 2층,37.62650936,127.0619798,문화,새서점      
아크앤북(이태원점),용산구 장문로 23 지하 1층,37.52856556,126.9931075,문화,새서점      
아크앤북(잠실 롯데월드몰점),송파구 올림픽로 300 롯데월드몰 4층,37.51375196,127.1044469,문화,새서점      
아크앤북(현대 신촌점),서대문구 연세로 13 현대백화점 유플렉스 12층,37.55673784,126.9365597,문화,새서점      
악어책방,강서구 강서로45다길 30-27 초록아파트 단지내 상가동 102호,37.54528183,126.8329703,문화,새서점      
안도북스,마포구 월드컵북로6길 87 2층 201호,37.56028501,126.9225799,문화,새서점      
알라딘 중고매장(가로수길점),강남구 강남대로 152길45,37.51839445,127.0229862,문화,헌서점      
알라딘 중고매장(강남점),강남구 강남대로 438 지하 1층,37.50164281,127.0263361,문화,헌서점      
알라딘 중고매장(강서홈플러스점),강서구 화곡로 398 홈플러스강서점 4층,37.55846996,126.854819,문화,헌서점      
알라딘 중고매장(건대점),광진구 능동로 111 지하 1층,37.54106291,127.0708594,문화,헌서점      
알라딘 중고매장(노원역점),노원구 동일로 1413 남성빌딩 지하 1층,37.65476885,127.0600193,문화,헌서점      
알라딘 중고매장(대학로점),종로구 창경궁로 236 이화빌딩 지하 1층,37.58264363,126.9988342,문화,헌서점      
알라딘 중고매장(서울대입구역점),관악구 관악로 171 지하 1층,37.48055351,126.9522333,문화,헌서점      
알라딘 중고매장(수유점),강북구 도봉로 342 2층,37.63803455,127.0261287,문화,헌서점      
알라딘 중고매장(신림점),관악구 신림로 318 청암위브 지하 1층,37.48257543,126.9302529,문화,헌서점      
알라딘 중고매장(신촌점),서대문구 연세로 21 지하 1층,37.55757241,126.9366783,문화,헌서점      
알라딘 중고매장(연신내점),은평구 연서로 214,37.6174451,126.9199521,문화,헌서점      
알라딘 중고매장(영등포점),영등포구 영중로 12 에쉐르 빌딩 지하 2층,37.51761761,126.906507,문화,헌서점      
알라딘 중고매장(이수역점),동작구 사당로 310 지하 1층,37.48501514,126.9810218,문화,헌서점      
알라딘 중고매장(잠실롯데월드타워점),송파구 올림픽로 305 지하 1층,37.51497717,127.1042164,문화,헌서점      
알라딘 중고매장(잠실새내역점),송파구 올림픽로 124 지하 1층,37.51139373,127.084435,문화,헌서점      
알라딘 중고매장(종로점),종로구 삼일대로 395 지하 1층,37.56990362,126.9873599,문화,헌서점      
알라딘 중고매장(합정점),마포구 독막로 5 지하 1층,37.54901989,126.9143079,문화,헌서점      
알라딘중고서점(천호점),강동구 올림픽로 654 지하 1층 알라딘 중고서점 천호점,37.53985741,127.1240828,문화,새서점      
알키미스타,은평구 응암로9길 24,37.58785313,126.9138939,문화,새서점      
얄라북스,"중구 을지로 114-6, 606호",37.56583385,126.990609,문화,새서점      
양곡서림,성동구 난계로 114-31 302호,37.56123125,127.0259523,문화,새서점      
양지서점,관악구 인헌6길 24,37.47413123,126.9655067,문화,새서점      
양지서점,성동구 금호로 173 신금호파크자이상가동 24호,37.55628641,127.018153,문화,새서점      
양현책세상,동작구 노량진로14길 9,37.51301288,126.942128,문화,새서점      
어나더더블유,동작구 사당로30길 42,37.48308966,126.9808342,문화,새서점      
어쩌다 산책,종로구 동숭길 101 지하 1층,37.58246148,127.00402,문화,새서점      
어쩌다책방,마포구 월드컵로 19길 74,37.5543449,126.9069541,문화,새서점      
에덴서점,양천구 오목로 203,37.52570079,126.8599537,문화,새서점      
에이포서점,만양로8길 68 지하1층,37.51045271,126.9458057,문화,새서점      
엘지트윈문고(선덕점),도봉구 시루봉로 57 ,37.65593119,127.0275217,문화,새서점      
엘지트윈문고(쌍문점),도봉구 도당로 6,37.65871187,127.0353712,문화,새서점      
엠프티폴더스,관악구 행운1길 70 1호,37.48173865,126.9565479,문화,새서점      
여기서울 149쪽,중구 서소문로6길 33,37.55967957,126.9672604,문화,새서점      
여행마을,월드컵로17길 57 지하1층,37.55486135,126.907757,문화,새서점      
역사책방,종로구 자하문로10길 24,37.57927999,126.9728467,문화,새서점      
연도서,관악구 남부순환로 1395 성우빌딩,37.48049394,126.9057465,문화,헌서점      
연신내문고,은평구 통일로 861 범일빌딩 지하 1층,37.61978504,126.9201939,문화,새서점      
연희서점,서초구 서초중앙로24길 43 유원아파트 상가 113호,37.49594752,127.0189851,문화,새서점      
열린문고,구로구 경인로47다길 4,37.50342595,126.863985,문화,새서점      
열린문고,중랑구 공릉로2가길 6,37.61244926,127.078762,문화,새서점      
열린책방,강서구 등촌로35길 160 지하 1층,37.53593436,126.8625633,문화,헌서점      
영광서점,종로구 종로58길 18,37.57269831,127.0176756,문화,헌서점      
영일서점,강서구 등촌로 39길 7,37.54548307,126.8618004,문화,새서점      
영파문고,송파구 올림픽로575 풍납동우체국,37.53334505,127.1211601,문화,새서점      
영풍문고(가산마리오점),금천구 벚꽃로 266 마리오아울렛 3관 6층,37.47844577,126.8850808,문화,새서점      
영풍문고(강남역점),강남구 강남대로 408 YBM어학센터 2층,37.49921703,127.027537,문화,새서점      
영풍문고(강남포스코점),강남구 테헤란로 440 포스코센터 지하 1층,37.50581497,127.056131,문화,새서점      
영풍문고(김포공항롯데점),강서구 하늘길38 롯데몰 김포공항 스카이파크 GF층,37.57136985,126.8029604,문화,새서점      
영풍문고(롯데백화점 미아점),강북구 도봉로 62 롯데백화점 미아점 6층,37.61459298,127.0305177,문화,새서점      
영풍문고(사당역점),서초구 방배천로 11 사당파스텔시티 지하 2층,37.47770076,126.9822361,문화,새서점      
영풍문고(스타필드코엑스몰점),강남구 영동대로 513 스타필드 코엑스몰 지하 1층 J101A호,37.51182391,127.059159,문화,새서점      
영풍문고(신림타임스트림점),관악구 신림로 330 신림타임스트림 7층,37.48385134,126.9302345,문화,새서점      
영풍문고(여의도IFC몰점),영등포구 국제금융로 10 IFC몰 L2층,37.52517752,126.9248767,문화,새서점      
영풍문고(왕십리역점),성동구 왕십리광장로 17 비트플렉스 3층,37.56144175,127.0383942,문화,새서점      
영풍문고(용산아이파크몰점),용산구 한강대로23길 55 아이파크몰 리빙파크 3층,37.5297718,126.9647415,문화,새서점      
영풍문고(종각종로본점),"종로구 청계천로 41 영풍빌딩 지하 1,2층",37.56966797,126.9821793,문화,새서점      
영풍문고(홍대점),마포구 양화로 161 지하 2층,37.55693622,126.9233156,문화,새서점      
예나글방,강남구 삼성로 151 선경상가 지하1층 13호,37.49315498,127.063,문화,새서점      
예람서점,성동구 고산자로 207 ,37.5586754,127.0337365,문화,새서점      
예림문고,강서구 곰달래로 227 지하 1층,37.53184428,126.858304,문화,새서점      
예일문고,도봉구 노해로67길 2 지하1층,37.65243024,127.0500283,문화,새서점      
오에프알,종로구 자하문로12길 11-14,37.58014127,126.971796,문화,새서점      
오케이어 맨션,와우산로11길 9-7 상수라이크 2층,37.54859241,126.9224471,문화,새서점      
오프 투 얼론(off to alone),종로구 자하문로15길 26-4,37.58080339,126.9695282,문화,새서점      
옥수서재,성동구 한림말1길 16-1 지하1층,37.54273673,127.0164133,문화,새서점      
온고당서점,마포구 월드컵북로 41,37.55793797,126.9181133,문화,새서점      
올오어낫싱,금천구 시흥대로 315 2층 204호,37.46099111,126.8962652,문화,새서점      
와룡서적문구,용산구 장문로 97,37.52625973,127.0003988,문화,새서점      
와우북트윈점,영등포구 여의대로 128 동관 지하1층,37.5279271,126.9292412,문화,새서점      
우리서점,강남구 개포로82길 13-15 남강빌딩 2층 202호,37.48882051,127.0683478,문화,새서점      
우면한솔서점,서초구 태봉로 70 우면프라자 지하1층,37.46453818,127.025583,문화,새서점      
월드매거진,논현로149길 75,37.51634813,127.0227586,문화,새서점      
월드문고,동소문로 59 지하,37.59144609,127.0120022,문화,새서점      
월촌문고,양천구 목동서로 35 목동프라자 지하 1층,37.53763811,126.8821121,문화,새서점      
위례북카페 퍼스트플로어, 위례광장로 270 Y동 2층 214호,37.47669596771655,127.14309642808304,문화,새서점      
위트 앤 시니컬,종로구 창경궁로 271-1 동양서림 2층,37.58556826,127.0006014,문화,새서점      
유어마인드,서대문구 연희로11라길 10-6 2층,37.56839735,126.9303035,문화,새서점      
유한서적,종로구 종로 258 덕성빌딩 A-6호,37.5706569,127.0064795,문화,새서점      
은마서적,강남구 삼성로 212 은마상가 2층,37.49961577,127.0659154,문화,새서점      
은평문고,은평구 응암로 188 2층,37.58962535,126.9173805,문화,새서점      
음악플러스,남부순환로 317길 82-4,37.48318921,127.0107185,문화,새서점      
이그잼플러스,동작구 노량진로14가길 16,37.51260133,126.9434826,문화,새서점      
이나영책방,관악구 신사로 66-1 3층,37.48545486,126.9103316,문화,새서점      
이라선,종로구 효자로7길 5 1층,37.57886927,126.9734631,문화,새서점      
이레서적,강남구 선릉로 843 1층,37.52721588,127.0402104,문화,새서점      
이루리북스(구 프레드릭북스),마포구 독막로 320 태영데시앙루브 오피스텔 지하1층 B105호,37.5429645,126.9478735,문화,새서점      
이마녀 중국어 스프,마포구 어울마당로5길 52 2층,37.55008433,126.9179802,문화,새서점      
이상한 나라의 헌책방,은평구 서오릉로 18,37.60290211,126.9262706,문화,헌서점      
이후북스,마포구 망원로4길 24 2층,37.55560567,126.9019414,문화,새서점      
인덱스숍,광진구 아차산로 200 커먼그라운드 3층,37.54105663,127.0656692,문화,새서점      
일단불온 ,영등포구 당산로18길 16-1,37.52280209,126.8979259,문화,새서점      
일등문고,관악구 신림로 131 지하1층,37.47095013,126.9346262,문화,새서점      
일등서점,관악구 신림로128 지하1층,37.47148749,126.935262,문화,새서점      
일신서점,송파구 송파대로38길 2-9 110호,37.500149,127.1124484,문화,새서점      
일일호일,종로구 자하문로 52,37.58064682,126.971422,문화,새서점      
잉크앤페더,"서초구 반포대로 105 다안빌딩 지하 1,2층",37.48951735,127.0084077,문화,새서점      
자각몽,종로구 창경궁로 297-2,37.58733003,127.002783,문화,새서점      
자고로,구로구 신도림로 20,37.50660167,126.8787518,문화,헌서점      
자매서점,용마산로22길 19,37.56372452,127.0880314,문화,새서점      
자상한시간,관악구 중앙길 59,37.48483855,126.9516219,문화,새서점      
자연책사랑,영등포구 의사당대로97,37.52251614,126.924586,문화,새서점      
작업책방 씀,마포구 월드컵로13길 19-17,37.55520996,126.9092844,문화,새서점      
장미문고,송파구 올림픽로35길 112,37.51788276,127.1018028,문화,새서점      
장안현대문고,동대문구 답십리로72길 36 지하1층,37.57056887,127.0736561,문화,새서점      
전농서적,동대문구 사가정로 119,37.57792922,127.0582716,문화,새서점      
정다운문고,대흥로 94 크로바빌딩,37.54811146,126.9424459,문화,새서점      
정연재,종로구 삼일대로 443,37.5739568,126.9870551,문화,헌서점      
정용서점,종로구 율곡로22길 20,37.57428634,127.0054828,문화,새서점      
정은도서,중구 청계천로 274 1층,37.56942586,127.0080476,문화,헌서점      
정은서점,서대문구 증가로21길 38,37.57987372,126.9134846,문화,헌서점      
정의문고,도봉구 노해로49길 69-4 ,37.65236471,127.0322852,문화,새서점      
제로헌드레드,마포구 희우정로10길 33,37.55335783,126.905783,문화,새서점      
제일서점,종로 258-2 가로판매대,37.5706569,127.0064795,문화,새서점      
제일서점,영등포구 의사당대로1 국회소통관,37.53291197,126.9164039,문화,새서점      
제일서점,동작구 노량진로16길 30 2층,37.51229097,126.9439375,문화,새서점      
조은이책,마포구 월드컵북로27길 6,37.56724513,126.9091861,문화,새서점      
조이엔영,종로 183 효성주얼리시티 지하2층 S2016,37.57148427221123,126.99866879597536,문화,새서점      
종로문고,강서구 강서로 45길 39 지하1층,37.54782406,126.8339729,문화,새서점      
종로서적,종로구 종로 51 종로타워 지하 2층,37.57074514,126.9836114,문화,새서점      
종암문고,성북구 종암로 86 2층,37.5979157,127.035222,문화,새서점      
종합서적,종로구 종로 258,37.57141277,127.0075763,문화,새서점      
좋은책많은데,노원구 공릉로43길 1 대상빌딩 지하,37.62611722,127.0793351,문화,헌서점      
좋은책서점,관악구 난곡로 184 대원빌딩 2층,37.47167022,126.9199812,문화,새서점      
주책,중랑구 면목로55길 57,37.58433505,127.0850742,문화,새서점      
중곡서점,광진구 능동로49길 40,37.56502012,127.0812933,문화,새서점      
중국서점,종로구 종로 19 르메이에르종로타운1,37.57084449,126.9799237,문화,새서점      
중랑중고책갤러리,중랑구 동일로 805-1,37.60238514,127.0790051,문화,헌서점      
중화문고,중랑구 동일로 769 농협 지하 1층,37.59906992,127.0795732,문화,새서점      
중화서국,중구 남대문로 52-5,37.5621198,126.981717,문화,새서점      
지구불시착,노원구 화랑로 464,37.61850852,127.0788608,문화,새서점      
지금의세상,동작구 동작대로3길 41,37.47866795,126.9791947,문화,새서점      
지식을담다,성북구 고려대로24가길 17 소낭구 빌딩,37.58533485,127.030463,문화,새서점      
직매도서,종로구 종로40길 4 A-14호,37.5706569,127.0064795,문화,새서점      
진부책방스튜디오,마포구 잔다리로 112 2층,37.55699893,126.9144013,문화,새서점      
진영문고,서초구 방배로 60,37.48017347,126.9988918,문화,새서점      
진학서점,양천구 목동로 177,37.52431307,126.8645137,문화,새서점      
질문서점 인공위성,구로구 구로중앙로27가길 32,37.49760525,126.8864852,문화,새서점      
차일드북앤토이,성동구 무학봉길 62-2,37.56058999,127.0294949,문화,새서점      
창문사,중구 청계천로 274 다27호,37.56942586,127.0080476,문화,헌서점      
창문서점,강북구 월계로 55,37.6121807,127.035564,문화,새서점      
채그로,"마포구 마포동 388-5 아리수빌딩 9층(8층, 6층)",37.53565159,126.9442586,문화,새서점      
채플린문구와서점,강동구 천호대로219길 64,37.54858872,127.1711451,문화,새서점      
책가도,도봉구 해등로 109 2층 책가도,37.65222036,127.0490356,문화,새서점      
책과얽힘,강남구 선릉로 133길 15 1층,37.51794812,127.0395395,문화,새서점      
책그리고,방배천로 132,37.48763619,126.9855902,문화,새서점      
책마을서점,영등포구 여의대방로 25 보라매경남아너스빌 상가113호,37.49471168,126.9089784,문화,새서점      
책바,서대문구 연희맛로 24 101호,37.56686587,126.9303565,문화,새서점      
책방 봄,노원구 상계로3길 38-8 3층,37.65797486,127.0630404,문화,새서점      
책방 사춘기,마포구 월드컵북로9길 30,37.5587493,126.9156593,문화,새서점      
책방 시나브로,은평구 응암로25길 11-1,37.60872653,126.9110644,문화,새서점      
책방 이올시다,마포구 포은로 146,37.55962896,126.9031141,문화,새서점      
책방 죄책감,용산구 청파로47길 8 2층,37.54495674,126.9700207,문화,새서점      
책방곱셈,마포구 성미산로29길 33,37.56534098,126.921804,문화,새서점      
책방공책,연동로 287 그린빌라 상가 2층,37.48729988,126.8232491,문화,새서점      
책방난달,은평구 갈현로19길 10,37.62133549,126.9164744,문화,새서점      
책방서로,마포구 연남로11길 46,37.56534984,126.9164513,문화,새서점      
책방연희,마포구 와우산로 35길 3 지하1층,37.55543547,126.9302187,문화,새서점      
책방이웃,서대문구 증가로30길 29-2,37.58425029,126.9134735,문화,새서점      
책방진호,동작구 장승배기로 164,37.51231257,126.9403983,문화,헌서점      
책보냥,성북구 성북로10가길 21,37.59271921,127.0031444,문화,새서점      
책빵 중고서점,강서구 화곡로 268 대송빌딩 2층,37.54853071,126.8471183,문화,헌서점      
책사랑,중구 청계천로 274 다21호,37.56942586,127.0080476,문화,헌서점      
책여행,도봉구 창동 254-37,37.65297447,127.0452512,문화,헌서점      
책의기분,성북구 돌곶이로 9길 5-19,37.60616577,127.0611153,문화,새서점      
책의향기서점,강서구 화곡로51길 18,37.55067701,126.8472822,문화,헌서점      
책이는당나귀,관악구 당곡6길 6,37.49147695,126.9280167,문화,새서점      
책익다,마포구 와우산로29마길 10-3 2층,37.5556485,126.9264146,문화,새서점      
책인감,노원구 동일로 182길 63-1 2층,37.62359186,127.077542,문화,새서점      
책읽는마을,종로구 종로58길 41,37.57175723,127.0187659,문화,헌서점      
책크인,마포구 성미산로29안길 29 2층,37.56572223,126.9235043,문화,새서점      
청계천서점,종로구 종로58길 41,37.57175723,127.0187659,문화,헌서점      
청맥살롱,동작구 서달로 161-1 2층,37.5078135,126.9622592,문화,새서점      
초방책방,서대문구 연대동문길 63,37.56502729,126.9450319,문화,새서점      
초원서점,광진구 뚝섬로 672,37.53175728,127.0841951,문화,새서점      
초콜릿책방,서대문구 연희로5길 46-11,37.56555029,126.9268804,문화,새서점      
최인아책방,강남구 선릉로 521,37.50605141,127.0479091,문화,새서점      
최인아책방 GFC점,테헤란로 152 1층,37.50002424,127.0365086,문화,새서점      
충암서점,은평구 가좌로5길 8,37.58614808,126.9216474,문화,새서점      
카모메그림책방,성동구 무수막길 84,37.55341561,127.0206054,문화,새서점      
커넥티드북스토어 더 세운,종로구 청계천로 159 3층 외부 바열 328호,37.56928143,126.9952397,문화,새서점      
커넥티드북스토어 더 을지,중구 을지로20길 24-13,37.56552508,126.9951245,문화,새서점      
커넥티드플래그십스토어,중구 남대문로 67 1층,37.56348677,126.9815302,문화,새서점      
케이피에스,마포구 월드컵북로5가길 18,37.56151974,126.9197455,문화,새서점      
코믹갤러리,광진구 아차산로 208 상록빌딩 지하 1층,37.54106095,127.0664892,문화,새서점      
코믹시티 성신북스,성북구 동소문로 111 지하 1층,37.59339851,127.0172842,문화,새서점      
코믹존,관악구 신림로 300 웅산빌딩 지하1층,37.48114052,126.9303107,문화,새서점      
코믹토토,양천구 은행정로 58,37.5247571,126.8592816,문화,헌서점      
콕콕콕,구로구 고척로8 2층,37.49559571,126.8407958,문화,새서점      
콜링북스,강남구 선릉로157길 14-4 1층 103호,37.52636802,127.0389146,문화,새서점      
쿨디가, 효령로55길 22 그린빌오피스텔 401호,37.48579963,127.0146937,문화,새서점      
클래식책방,성동구 금호산길 30-1,37.55092707,127.0194383,문화,새서점      
키다리영어샵,노원구 노해로75길 14-26 효림빌딩 6층,37.65458166,127.0588877,문화,새서점      
테레사그림책방,강북구 오패산로67길 7 1층,37.63574307,127.0277477,문화,새서점      
토리헌책방,구로구 구로중앙로18길 54,37.49583691,126.8921371,문화,헌서점      
톨쉽북스토어,노량진로6길 21 지하1층,37.51211489,126.9359156,문화,새서점      
통문관,종로구 인사동길 55-1,37.5749008,126.9836674,문화,헌서점      
트립북앤스페이스,왕십리로 92 4층,37.5457235,127.0449825,문화,새서점      
파움스서울,종로구 필운대로 15-10 4층,37.57786658,126.9691049,문화,새서점      
페이퍼 뮤즈,용산구 대사관로5길 25,37.53531597,127.0002909,문화,새서점      
페잇퍼,연희로 15안길 32-7,37.57022401,126.9304299,문화,새서점      
평화서림,중구 청계천로 274 다8호,37.56942586,127.0080476,문화,헌서점      
포스트 포에틱스,용산구 이태원로54길 19,37.53610921,127.0001638,문화,새서점      
푸른문고,동작구 상도로 56,37.49960365,126.926517,문화,새서점      
풀무질,종로구 성균관로 19 지하 1층,37.58439234,126.9973311,문화,새서점      
프라임 서점,관악구 신림로 90,37.47093617,126.9393627,문화,새서점      
프루스트의 서재,성동구 무수막길 56,37.55125279,127.0219378,문화,새서점      
피스북스,종로구 옥인3길 5-1,37.58068012,126.9664952,문화,새서점      
픽셀 퍼 인치,한강대로 54길 7 301호,37.53283906,126.9720558,문화,새서점      
핏어팻(PIT A PAT),종로구 혜화로3길5 아남아파트 상가 301동 108호,37.58596461,127.0002305,문화,새서점      
하우스북스,송파구 백제고분로 9길 5,37.50938231,127.0796563,문화,새서점      
학림문고,허준로 139,37.56521522448027,126.85566705807918,문화,새서점      
학문서점,중랑구 용마산로 345,37.58275311,127.0932724,문화,새서점      
학연서점,영등포구 국제금융로6길33,37.52079083,126.926912,문화,새서점      
학창문고,서초구 서초대로26길 3,37.48766848,126.9945392,문화,새서점      
한국서적,은평구 은평로9길 6 진보빌딩,37.60074563,126.9214446,문화,새서점      
한권의 서점,종로구 자하문로9길 24,37.57956477,126.9697914,문화,새서점      
한글서점문구,광진구 뚝섬로 480,37.53642449,127.0635473,문화,새서점      
한글파크서점,종로구 자하문로 300,37.59950888,126.9598713,문화,새서점      
한길서적,동작구 사당로 226 지하1층,37.48355381,126.9727846,문화,새서점      
한길서적 숭실대점,동작구 상도로 347 지하1층,37.49752877,126.9529285,문화,새서점      
한길서점,강남구 삼성로 237,37.49835167,127.0608601,문화,새서점      
한나책방,연희로11나길 7-5 2층 201호,37.56738638,126.9282638,문화,새서점      
한림사,서초구 청두곶길 42,37.48035459,126.9854763,문화,새서점      
한미문화사,종로구 필운대로1길 21 1층,37.57766172,126.9681794,문화,새서점      
한미서적,송파구 문정동 156번지 가든파이브라이프 영관 4층,37.47761484,127.1249618,문화,새서점      
한보책문구(한보문고),강동구 천호대로 1194,37.53430463,127.1440138,문화,새서점      
한솔문고,구로구 고척로 202,37.50485847,126.8557205,문화,새서점      
한솔문고,동대문구 한천로 221 지하1층,37.58065234,127.0681078,문화,새서점      
한우리문고,동대문구 이문로 98 지하1층,37.59552679,127.0598725,문화,새서점      
한티서점,강남구 도곡로 415 지하1층,37.49754299,127.0559831,문화,새서점      
한평책빵,은평구 통일로 684 서울혁신파크 25동 101호,37.60940705,126.9349539,문화,새서점      
함양서림,중구 청계천로 246 다118호,37.56936838,127.0047211,문화,헌서점      
햇빛문고 목동본점,양천구 목동서로 355,37.51720397,126.8643447,문화,새서점      
햇빛문고 푸른마을점,양천구 신정로11길 50-2,37.51150106,126.8384155,문화,새서점      
햇살속으로,성북구 정릉로 346,37.60152451,127.0213921,문화,새서점      
행복한글간,강서구 공항대로41길 51 지하1층,37.56023598,126.8457763,문화,새서점      
행운서점,성북구 종암로22길 31,37.60019783,127.0357826,문화,헌서점      
향기나무,영등포구 신풍로 25가길 14,37.50096448,126.9184872,문화,새서점      
헬로인디북스,마포구 동교로46길 33,37.56229058,126.9265898,문화,새서점      
현대문고,은평구 은평로3길 15,37.60037506,126.9149504,문화,새서점      
현대서적,강남구 압구정로 201,37.53153417,127.0292731,문화,새서점      
현대서점,노원구 한글비석로 231 지하1층,37.64821677,127.0763172,문화,새서점      
현대서점문구,강동구 상암로 11 선사현대단지상가 121호,37.55344749,127.12566,문화,새서점      
현대책서점,강동구 동남로81길 70 ,37.55934126,127.153137,문화,새서점      
형제서점,구로구 디지털로31길 120 지하1층,37.48847002,126.890773,문화,새서점      
형제책서점,양천구 신정로14길 1,37.50899029,126.8448385,문화,새서점      
형제할인책문고,영등포구 당산로 95 현대아파트 지하 1층,37.52402305,126.894863,문화,새서점      
호박이넝쿨책,성북구 정릉로26가길 30,37.60283495,127.0113436,문화,새서점      
호수책장,강서구 강서로45길 132-14,37.55067233,126.8315808,문화,새서점      
홀로서기,강동구 동남로75길 13-25 지하1층,37.55306826,127.1554729,문화,새서점      
홈통,금천구 시흥대로73길 11 무지개상가 309호,37.45661694,126.8983015,문화,새서점      
홍익도서,동교로 148-8,37.55501846,126.9186288,문화,새서점      
홍익문고,서대문구 연세로 2,37.55578538,126.9370438,문화,새서점      
홍제문고,서대문구 통일로39가길 30 지하1층,37.58896925,126.9442924,문화,새서점      
화랑문고,노원구 공릉로 34길 62,37.62336595,127.0821211,문화,새서점      
환일서점,마포구 환일길 48,37.55409127,126.9608924,문화,새서점      
황룡서점,강남구 일원로3길 56,37.49249727,127.0844664,문화,새서점      
황룡서점,송파구 마천로 271,37.49780507,127.1471085,문화,새서점      
회전문서재,조원로 2길 55 1층 4호 노란색 벽,37.48128038,126.9013798,문화,새서점      
흙서점,관악구 남부순환로 1916,37.47735921,126.9620682,문화,헌서점      
흥인서점,강서구 화곡로24길 40,37.53918298,126.8388808,문화,새서점      
희망문고,성북구 성북로2길 27 삼선교 맥도날드 뒷문,37.58956421,127.0071805,문화,새서점      
